Auction Title ,Auction ID,Department ,Close Date ,Winning Bid ,Inventory ID,Vehicle ID,Receipt Number ,Fund
True Temper Rake,82961,DRUG TASK FORCE,6/19/2014,$7.00 ,TF-314-043,,3617269376,Enterprise
Stanley Tool Box w/Assorted Tools,82963,DRUG TASK FORCE,6/19/2014,$73.01 ,TF-314-040,,3617234696,Enterprise
Pamoa Hat,82964,DRUG TASK FORCE,6/19/2014,$7.00 ,TF-314-033U,,3617505634,Enterprise
Kangol Hat,82965,DRUG TASK FORCE,6/19/2014,$20.09 ,TF-314-033V,,3617251764,Enterprise
Kangol Hat,82967,DRUG TASK FORCE,6/19/2014,$10.00 ,TF-314-033X,,Money Order,Enterprise
Kangol Hat,82968,DRUG TASK FORCE,6/19/2014,$7.00 ,TF-314-033Y,,3617757738,Enterprise
Kangol Hat,82969,DRUG TASK FORCE,6/19/2014,$11.00 ,TF-314-033Z,,3617505641,Enterprise
Kangol Hat,82970,DRUG TASK FORCE,6/19/2014,$5.00 ,TF-314-033AA,,3617757744,Enterprise
Chair,82971,DRUG TASK FORCE,6/19/2014,$39.25 ,TF-314-049,,3617572850,Enterprise
Shop-Vac Wet/Dry Vacuum,82972,DRUG TASK FORCE,6/19/2014,$47.00 ,TF-314-047,,3617245662,Enterprise
Dreamland Ceiling Fan,82973,DRUG TASK FORCE,6/19/2014,$40.00 ,TF-314-036,,3617512221,Enterprise
Nintendo Wii,82974,DRUG TASK FORCE,6/19/2014,$41.99 ,TF-314-039,,Cashiers Check,Enterprise
NuCool Mini Fridge,82975,DRUG TASK FORCE,6/19/2014,$62.02 ,TF-314-014,,3617269702,Enterprise
"Sylvania 32"" LCD Flat Screen TV",82977,DRUG TASK FORCE,6/19/2014,$99.75 ,TF-314-024,,3617462772,Enterprise
Horticulture Equipment,82978,DRUG TASK FORCE,6/19/2014,$103.00 ,TF-314-057,,Money Order,Enterprise
Couch,82979,DRUG TASK FORCE,6/19/2014,$155.00 ,TF-314-050,,3617246246,Enterprise
2005 Nissan Altima,82980,POLICE STATE DRUG FUND,6/19/2014,"$4,225.00 ",,,3617774139,Enterprise
2005 Chevrolet Avalanche,82981,POLICE STATE GAMBLING FORFEITURE,6/19/2014,"$7,753.00 ",,07G 4699,Cashiers Check,Enterprise
2006 Nissan Frontier,82982,POLICE STATE DRUG FUND,6/19/2014,"$8,300.00 ",,07D 4775,Money Order,Enterprise
2005 Pontiac Bonneville,82983,POLICE STATE DRUG FUND,6/19/2014,"$3,725.00 ",,07D 4718,Money Order,Enterprise
2005 Nissan Titan,82984,POLICE STATE DRUG FUND,6/19/2014,"$6,702.00 ",,07D 4738,Cashiers Check,Enterprise
2008 Chevrolet Tahoe,82985,POLICE STATE DRUG FUND,6/19/2014,"$8,250.00 ",,07D 4848,Cashiers Check,Enterprise
2006 Pontiac G6,82986,POLICE STATE DRUG FUND,6/19/2014,"$5,075.00 ",,07D 4757,Cashiers Check,Enterprise
PS3 Game,82987,DRUG TASK FORCE,6/19/2014,$11.00 ,TF-313-032E,,3617772754,Enterprise
10 Wet/Dry Vacuums,82988,SCHOOL BOARD WAREHOUSE,6/23/2014,$135.00 ,SBS-6364,,3617499772,Enterprise
13 Cash Boxes,82989,SCHOOL BOARD WAREHOUSE,6/23/2014,$23.21 ,SBS-7029A,,3617515804,Enterprise
2 Pots,82990,SCHOOL BOARD WAREHOUSE,6/23/2014,$62.00 ,SBS-7029B,,3617662616,Enterprise
Kitchen Items,82996,SCHOOL BOARD WAREHOUSE,6/23/2014,$47.00 ,SBS-7029J,,Cashiers Check,Enterprise
Mixing Bowl & Stand,82998,SCHOOL BOARD WAREHOUSE,6/23/2014,$53.06 ,SBS-7029I,,3617570976,Enterprise
Food Trays,82999,SCHOOL BOARD WAREHOUSE,6/23/2014,$64.10 ,SBS-7029K,,3617485468,Enterprise
Serving Trays,83000,SCHOOL BOARD WAREHOUSE,6/23/2014,$80.00 ,SBS-6358,,3617713831,Enterprise
Menu Sign,83001,SCHOOL BOARD WAREHOUSE,6/23/2014,$21.00 ,SBS-7029E,,3617489596,Enterprise
7 Buffers,83002,SCHOOL BOARD WAREHOUSE,6/23/2014,$42.01 ,SBS-6365,,Money Order,Enterprise
4 Cash Registers,83004,SCHOOL BOARD WAREHOUSE,6/23/2014,$4.00 ,SBS-7030A,,3617958284,Enterprise
Cash Register,83005,SCHOOL BOARD WAREHOUSE,6/23/2014,$11.40 ,SBS-7030B,,3617507278,Enterprise
Assorted Electronics,83006,SURPLUS WAREHOUSE,6/23/2014,$34.00 ,82801,,3617492374,General Fund
Assorted Electronics,83008,SURPLUS WAREHOUSE,6/23/2014,$12.00 ,82800,,3617620998,General Fund
Liebert Hood Unit,83010,GENERAL SERVICES,6/23/2014,$308.00 ,81852,,3617802621,General Fund
Telephones,83011,ITS,6/23/2014,$38.56 ,78633,,3617621003,General Fund
6 Sharp Cash Registers,83013,SCHOOL BOARD WAREHOUSE,6/24/2014,$26.89 ,SBS-7021,,3617584489,Enterprise
Kitchen Items,83015,SCHOOL BOARD WAREHOUSE,6/24/2014,$78.00 ,SBS-7017A,,3617575707,Enterprise
Eco Lab Cleaner,83016,SCHOOL BOARD WAREHOUSE,6/24/2014,$627.56 ,SBS-7017B,,3617713834,Enterprise
GE Compact Refrigerator,83019,SCHOOL BOARD WAREHOUSE,6/24/2014,$6.90 ,SBS-7017E,,3617584495,Enterprise
Metal Cart,83020,SCHOOL BOARD WAREHOUSE,6/24/2014,$33.25 ,SBS-7018,,3617577535,Enterprise
Vacuum Cleaners,83021,SCHOOL BOARD WAREHOUSE,6/24/2014,$40.00 ,"SBS-6361, SBS-6366",,3617621007,Enterprise
Bakers Table,83022,SCHOOL BOARD WAREHOUSE,6/24/2014,$258.00 ,SBS-7043,,3618004514,Enterprise
Toast Master Oven,83023,SCHOOL BOARD WAREHOUSE,6/24/2014,$200.00 ,SBS-7042,,3617656459,Enterprise
Color Point Milk Box,83027,SCHOOL BOARD WAREHOUSE,6/24/2014,$94.00 ,SBS-7046,,Cashiers Check,Enterprise
Dell Computer,92569,ITS,2/11/2016,$49.01 ,99026,,Money Order,
Color Point Milk Box,83028,SCHOOL BOARD WAREHOUSE,6/24/2014,$78.00 ,SBS-7047,,Cashiers Check,Enterprise
Color Point Commercial Refrigerator,83029,SCHOOL BOARD WAREHOUSE,6/24/2014,$50.01 ,SBS-7045,,3617621013,Enterprise
Blakeslee Dish Machine w/Table,83030,SCHOOL BOARD WAREHOUSE,6/24/2014,$224.00 ,"SBS-7049, SBS-7050",,Money Order,Enterprise
Sheet Metal Bender,83031,SCHOOL BOARD WAREHOUSE,6/24/2014,$89.00 ,SBS-7013,,3617617884,Enterprise
Dell Computer,83032,ITS,6/24/2014,$56.00 ,80421,,3617659426,General Fund
Dell Computer,83033,ITS,6/24/2014,$78.51 ,80407,,3617659430,General Fund
Dell Computer,83034,ITS,6/24/2014,$57.51 ,80430,,3617587374,General Fund
Dell Computer,83037,ITS,6/24/2014,$73.01 ,80687,,3617659440,General Fund
Dell Computer,83038,ITS,6/24/2014,$76.00 ,80676,,3617661157,General Fund
Dell Computer,83039,ITS,6/24/2014,$77.33 ,80679,,3617766171,General Fund
Dell Computer,83040,ITS,6/24/2014,$64.01 ,80689,,3617775835,General Fund
Dell Laptop,83049,ITS,6/25/2014,$43.99 ,79097,,3617771748,General Fund
Dell Laptop,83053,ITS,6/25/2014,$49.02 ,80706,,Money Order,General Fund
Dell Laptop,83054,ITS,6/25/2014,$57.55 ,80707,,3617673333,General Fund
Dell Laptop,83055,ITS,6/25/2014,$43.51 ,77934,,3617673345,General Fund
Martin Guitar w/Case,83056,DRUG TASK FORCE,6/25/2014,"$1,528.01 ",TF-315-001,,Cashiers Check,Enterprise
Nike Air Max Tennis Shoes,83057,DRUG TASK FORCE,6/25/2014,$52.00 ,TF-315-008A,,Money Order,Enterprise
Nike Air Max Tennis Shoes,83058,DRUG TASK FORCE,6/25/2014,$45.00 ,TF-315-008B,,Money Order,Enterprise
Nike Air Max Tennis Shoes,83059,DRUG TASK FORCE,6/25/2014,$96.00 ,TF-315-008E,,Cashiers Check,Enterprise
Nike Air Trainer SCII Tennis Shoes,83061,DRUG TASK FORCE,6/25/2014,$51.00 ,TF-315-008G,,3617757755,Enterprise
Air Jordan 3 Retro Tennis Shoes,83062,DRUG TASK FORCE,6/25/2014,$102.00 ,TF-315-008C,,3617757760,Enterprise
Air Jordan XII Tennis Shoes,83065,DRUG TASK FORCE,6/25/2014,$56.00 ,TF-315-008H,,3617676687,Enterprise
Jordan CMFT Airmax Tennis Shoes,83066,DRUG TASK FORCE,6/25/2014,$32.01 ,TF-315-008J,,Money Order,Enterprise
Playstation 3,83068,DRUG TASK FORCE,6/25/2014,$125.00 ,TF-315-016,,3617742915,Enterprise
PS3 Game,83069,DRUG TASK FORCE,6/25/2014,$25.01 ,TF-315-014A,,3617686175,Enterprise
PS3 Game,83070,DRUG TASK FORCE,6/25/2014,$9.50 ,TF-315-014B,,3617980564,Enterprise
PS3 Game,83071,DRUG TASK FORCE,6/25/2014,$13.00 ,TF-315-014C,,3617762659,Enterprise
PS3 Game,83073,DRUG TASK FORCE,6/25/2014,$11.00 ,TF-315-014E,,3617762662,Enterprise
PS3 Game,83074,DRUG TASK FORCE,6/25/2014,$12.50 ,TF-315-014F,,3617762669,Enterprise
PS3 Game,83075,DRUG TASK FORCE,6/25/2014,$10.00 ,TF-315-014G,,3617762674,Enterprise
Server,83077,ITS,6/26/2014,$35.50 ,79931,,3617765027,General Fund
Dell Computer,83082,ITS,6/26/2014,$70.00 ,80677,,3617775840,General Fund
Dell Computer,83083,ITS,6/26/2014,$75.00 ,80678,,3617775848,General Fund
Dell Computer,83084,ITS,6/26/2014,$75.00 ,80683,,3617775852,General Fund
Dell Computer,83085,ITS,6/26/2014,$75.00 ,80675,,3617775857,General Fund
Dell Computer,83086,ITS,6/26/2014,$76.00 ,80681,,3617775860,General Fund
Dell Laptop,83092,ITS,6/26/2014,$57.00 ,77936,,3617761864,General Fund
2 Laptop Bags,83093,FIRE,6/26/2014,$5.00 ,"78602, 78607",,Cashiers Check,General Fund
2 Laptop Bags,83094,FIRE,6/26/2014,$4.01 ,"78603, 78604",,Cashiers Check,General Fund
2 Fans,83097,GENERAL SERVICES,6/26/2014,$308.00 ,"81911, 81912",,3618025404,General Fund
Book Case,83100,GENERAL SERVICES,6/26/2014,$43.02 ,79899,,3617983869,General Fund
Book Case,83101,GENERAL SERVICES,6/26/2014,$44.02 ,79901,,3617983881,General Fund
Table,83102,GENERAL SERVICES,6/26/2014,$4.33 ,81406,,3617779880,General Fund
Desk,83103,POLICE DEPARTMENT,6/26/2014,$21.00 ,80565,,3617991093,General Fund
Book Shelf,83104,POLICE DEPARTMENT,6/26/2014,$33.00 ,80571,,3617772756,General Fund
Table,83105,POLICE DEPARTMENT,6/26/2014,$13.00 ,80875,,3617772761,General Fund
4 Chairs,83108,PUBLIC LIBRARY,6/26/2014,$40.02 ,"81967, 81969, 81975, 81976",,3617774007,General Fund
4 Chairs,83110,PUBLIC LIBRARY,6/26/2014,$40.00 ,"81971, 81972, 81979, 81980",,3617772764,General Fund
Desk,83114,WATER SERVICES,6/26/2014,$17.00 ,WS-80136,,Money Order,Enterprise
Dell Computer,83126,ITS,6/30/2014,$27.01 ,82148,,3618006308,General Fund
Dell Computer,83127,ITS,6/30/2014,$18.01 ,82143,,3618006688,General Fund
Dell Laptop w/Bag,83135,ITS,6/30/2014,$57.55 ,"81624, 81681",,3618033441,General Fund
Radio Equipment,83148,SCHOOL BOARD WAREHOUSE,6/30/2014,$212.89 ,SBS-7044J,,3618006178,Enterprise
Whirlpool Stove,83149,SCHOOL BOARD WAREHOUSE,6/30/2014,$111.51 ,SBS-7038A,,3618006986,Enterprise
"Commercial Building & Land - 222 3rd Avenue North, Nashville, TN 37201",82027,PUBLIC PROPERTY,5/9/2014,"$6,810,200.00 ",RP14222,,Cashiers Check,General Fund
3-Ton Hydraulic Jack,82319,SCHOOL BOARD WAREHOUSE,5/21/2014,$24.00 ,SBS-6384,,3618086493,Enterprise
"Vacant Land - 1722 Arthur Avenue, Nashville, TN 37208",82429,PUBLIC PROPERTY,5/28/2014,"$33,100.00 ",RP-14021,,Cashiers Check,General Fund
HP Printer Cartridges,82480,POLICE DEPARTMENT,6/9/2014,$410.00 ,79864,,3618764219,General Fund
2 Transmissions,82512,OFM,6/10/2014,$57.00 ,"OFM-80796, OFM-80797",,Money Order,Enterprise
Auto Parts,82517,OFM,6/10/2014,$82.00 ,OFM-80792C,,Money Order,Enterprise
3 Storage Bins,82547,SCHOOL BOARD WAREHOUSE,6/11/2014,$33.00 ,SBS-7016KK,,Money Order,Enterprise
"Vacant Industrial Restrictive Land - 200 Madison St. Nashville, TN 37208",82620,PUBLIC PROPERTY,6/13/2014,"$250,000.00 ",AS14022,,Cashiers Check,General Fund
"Vacant Industrial Restrictive Land - 206 Madison St. Nashville, TN 37208",82621,PUBLIC PROPERTY,6/13/2014,"$300,000.00 ",AS14023,,Cashiers Check,General Fund
Richo Scanner,82654,CODES,6/5/2014,$775.00 ,80789,,3618761581,General Fund
Magic Aire Fan Unit,82656,BRIDGESTONE ARENA,6/5/2014,$42.00 ,BA-80973,,Money Order,Enterprise
"1 Lot of 3 Air Monitors ""Thermo""",82687,HEALTH,6/10/2014,$555.00 ,80867,,Money Order,General Fund
8 Dell Optiplex 789 PC/Monitor Combos,82710,ITS,6/10/2014,$435.00 ,"79801, 79799, 79800, 79802, 79805, 79804, 79803, 79806, 79743, 79737, 79746, 79741, 79740, 79747, 79744, 79749",,3619618108,General Fund
Panasonic Microwave Oven,82727,SCHOOL BOARD WAREHOUSE,6/9/2014,$1.00 ,SBS-6324,,3618703073,Enterprise
Trays & Cup Dispensers,82756,SCHOOL BOARD WAREHOUSE,6/16/2014,$62.00 ,SBS-6370C,,3618128002,Enterprise
Smart Board,82771,SCHOOL BOARD WAREHOUSE,6/16/2014,$27.00 ,SBS-6360,,3619730888,Enterprise
TV Stand,82834,GENERAL SERVICES,6/16/2014,$10.00 ,79245,,3619767446,General Fund
Mixer,82848,SCHOOL BOARD WAREHOUSE,6/16/2014,$865.00 ,SBS-6346,,Money Order,Enterprise
20 Dell Computers,82859,ITS,6/17/2014,$407.00 ,"79669, 79667, 79668, 79720, 79719, 79733, 79683, 79723, 79676, 79680, 79716, 79711, 79677, 79729, 79679, 79702, 79698, 79727, 79705, 79712",,Money Order,General Fund
Dell Laptop,82872,ITS,6/17/2014,$48.99 ,79751,,3619588196,General Fund
Dell Laptop,82876,ITS,6/17/2014,$32.00 ,77012,,3618474026,General Fund
Dell Laptop,82880,ITS,6/17/2014,$16.99 ,79752,,3618128010,General Fund
26 Dell Computers,82884,ITS,6/17/2014,"$1,350.00 ","78987, 78903, 78907, 78978, 79081, 79066, 78964, 78905, 78968, 78902, 78974, 78983, 78923, 78900, 78913, 78904, 78960, 78965, 78961, 78899, 78906, 78957, 78967, 79080, 78972, 79071",,Cashiers Check,General Fund
Dell Computer,82888,ITS,6/17/2014,$81.00 ,80463,,3619240974,General Fund
"Sharp 52"" LED Flat Screen TV",82900,DRUG TASK FORCE,6/18/2014,$303.46 ,TF-314-012,,Money Order,Enterprise
Kangol Hat,82907,DRUG TASK FORCE,6/18/2014,$28.00 ,TF-314-033N,,3619767603,Enterprise
Kangol Hat,82909,DRUG TASK FORCE,6/18/2014,$10.00 ,TF-314-033P,,3619767608,Enterprise
Kangol Hat,82912,DRUG TASK FORCE,6/18/2014,$4.00 ,TF-314-033S,,3619767609,Enterprise
Kangol Hat,82950,DRUG TASK FORCE,6/19/2014,$16.00 ,TF-314-033D,,3619767610,Enterprise
Kangol Hat,82953,DRUG TASK FORCE,6/19/2014,$9.00 ,TF-314-033G,,3619767613,Enterprise
Kangol Hat,82957,DRUG TASK FORCE,6/19/2014,$12.00 ,TF-314-033J,,3619767724,Enterprise
Mini Shop-Vac,82962,DRUG TASK FORCE,6/19/2014,$30.01 ,TF-314-037,,3618123806,Enterprise
"Sanyo 32"" LCD Flat Screen TV",82976,DRUG TASK FORCE,6/19/2014,$126.00 ,TF-314-023,,3619767725,Enterprise
3 Pots,82991,SCHOOL BOARD WAREHOUSE,6/23/2014,$65.00 ,SBS-7029C,,3618302379,Enterprise
4 Pots,82992,SCHOOL BOARD WAREHOUSE,6/23/2014,$53.00 ,SBS-7029F,,3618302381,Enterprise
Kitchen Items,82993,SCHOOL BOARD WAREHOUSE,6/23/2014,$68.78 ,SBS-7029D,,3618302388,Enterprise
Kitchen Items,82994,SCHOOL BOARD WAREHOUSE,6/23/2014,$43.89 ,SBS-7029G,,3618302398,Enterprise
2 Bins,82995,SCHOOL BOARD WAREHOUSE,6/23/2014,$47.00 ,SBS-7029H,,3618761584,Enterprise
Kitchen Items,82997,SCHOOL BOARD WAREHOUSE,6/23/2014,$103.00 ,SBS-7029L,,3618302404,Enterprise
4 Cash Registers,83003,SCHOOL BOARD WAREHOUSE,6/23/2014,$12.11 ,SBS-7015,,3618160646,Enterprise
Assorted Electronics,83007,SURPLUS WAREHOUSE,6/23/2014,$22.80 ,82799,,3618160730,General Fund
Assorted Electronics,83009,SURPLUS WAREHOUSE,6/23/2014,$30.01 ,82802,,3618160794,General Fund
Film Enlargers,83012,SCHOOL BOARD WAREHOUSE,6/24/2014,$29.50 ,SBS-6347,,3618761587,Enterprise
8 Sharp Cash Registers,83014,SCHOOL BOARD WAREHOUSE,6/24/2014,$18.50 ,"SBS-6371, SBS-6372, SBS-6373",,3618087624,Enterprise
4 Wear-Ever Bins w/Wheels,83017,SCHOOL BOARD WAREHOUSE,6/24/2014,$180.00 ,SBS-7017C,,Money Order,Enterprise
Kitchen Items,83018,SCHOOL BOARD WAREHOUSE,6/24/2014,$21.00 ,SBS-7017D,,3618302407,Enterprise
Toast Master Fryer,83024,SCHOOL BOARD WAREHOUSE,6/24/2014,$54.00 ,SBS-7041,,3618388505,Enterprise
Black & Decker Miter Saw,83025,SCHOOL BOARD WAREHOUSE,6/24/2014,$18.75 ,SBS-7011,,3618086503,Enterprise
Hoshizaki Ice Machine,83026,SCHOOL BOARD WAREHOUSE,6/24/2014,$230.00 ,SBS-7048,,3618388484,Enterprise
Dell Computer,83035,ITS,6/24/2014,$74.00 ,80690,,3619240986,General Fund
Dell Computer,83036,ITS,6/24/2014,$75.51 ,80682,,3619241003,General Fund
2 Servers,83046,ITS,6/25/2014,$6.00 ,"79945, 79976",,3618065402,General Fund
2 Servers,83047,ITS,6/25/2014,$8.50 ,"79944, 79974",,3618065410,General Fund
2 Servers,83048,ITS,6/25/2014,$8.50 ,"79943, 79977",,3618065412,General Fund
Dell Laptop,83050,ITS,6/25/2014,$48.00 ,79094,,3619241010,General Fund
Dell Laptop,83051,ITS,6/25/2014,$45.99 ,79093,,3619241018,General Fund
Dell Laptop,83052,ITS,6/25/2014,$45.51 ,79110,,3619241027,General Fund
Nike Air Max 95 Tennis Shoes,83060,DRUG TASK FORCE,6/25/2014,$62.00 ,TF-315-008I,,3618108030,Enterprise
Air Jordan 5 Retro Tennis Shoes,83063,DRUG TASK FORCE,6/25/2014,$160.00 ,TF-315-008F,,3618176378,Enterprise
Jordan Formula Tennis Shoes,83064,DRUG TASK FORCE,6/25/2014,$73.00 ,TF-315-008D,,3618517525,Enterprise
Beats Pill Speaker,83067,DRUG TASK FORCE,6/25/2014,$135.00 ,TF-315-015,,3618310011,Enterprise
Server,83081,ITS,6/26/2014,$30.55 ,80107,,3618078713,General Fund
Dell Computer,83087,ITS,6/26/2014,$80.00 ,80688,,Money Order,General Fund
Dell Computer,83088,ITS,6/26/2014,$79.45 ,80685,,Money Order,General Fund
Dell Computer,83089,ITS,6/26/2014,$79.45 ,80686,,Money Order,General Fund
Dell Computer,83090,ITS,6/26/2014,$79.55 ,80680,,Money Order,General Fund
Dell Computer,83091,ITS,6/26/2014,$79.45 ,80691,,Money Order,General Fund
Paper Cutter,83095,GENERAL SERVICES,6/26/2014,$53.00 ,81142,,3618078717,General Fund
3 File Cabinets,83096,GENERAL SERVICES,6/26/2014,$30.01 ,"81110, 81111, 81114",,Money Order,General Fund
Fan,83098,GENERAL SERVICES,6/26/2014,$261.00 ,81910,,3619825116,General Fund
File Cabinet,83099,GENERAL SERVICES,6/26/2014,$11.01 ,81113,,Money Order,General Fund
Book Case,83106,PUBLIC DEFENDER,6/26/2014,$27.00 ,79902,,3618305969,General Fund
Book Case,83107,PUBLIC DEFENDER,6/26/2014,$27.00 ,79900,,3618305978,General Fund
2004 Harley Davidson,83109,DRUG TASK FORCE,6/30/2014,"$4,500.01 ",TF-315-020,,Cashiers Check,Enterprise
4 Chairs,83111,PUBLIC LIBRARY,6/26/2014,$37.00 ,"81968, 81970, 81981, 81982",,3618250751,General Fund
4 Chairs,83112,PUBLIC LIBRARY,6/26/2014,$50.00 ,"81973, 81974, 81977, 81978",,3618204927,General Fund
2 Electric Ranges,83113,WATER SERVICES,6/26/2014,$81.00 ,"WS-80181, WS-80182",,3618065413,Enterprise
2003 Ford F-150,83115,OFM-PARKS,6/26/2014,"$5,150.00 ",,P 2779 AL,Cashiers Check,Enterprise
1998 Porsche Boxster Convertible,83117,DRUG TASK FORCE,6/30/2014,"$10,050.00 ",TF-315-019,,3618657105,Enterprise
1970 Oldsmobile Cutlass,83118,DRUG TASK FORCE,6/30/2014,"$15,500.00 ",TF-315-018,,3618246978,Enterprise
Dell Computer,83119,ITS,6/30/2014,$57.00 ,82159,,Money Order,General Fund
Dell Computer,83120,ITS,6/30/2014,$47.51 ,82162,,Money Order,General Fund
Dell Computer,83121,ITS,6/30/2014,$47.51 ,82161,,Money Order,General Fund
Dell Computer,83122,ITS,6/30/2014,$43.77 ,82163,,Money Order,General Fund
Dell Computer,83123,ITS,6/30/2014,$47.51 ,82146,,Money Order,General Fund
Dell Computer,83124,ITS,6/30/2014,$37.01 ,82153,,Money Order,General Fund
Dell Computer,83125,ITS,6/30/2014,$20.02 ,82165,,3619587229,General Fund
Dell Computer,83128,ITS,6/30/2014,$32.01 ,82164,,3618094154,General Fund
Dell Laptop w/Bag,83129,ITS,6/30/2014,$88.55 ,"81644, 81689",,3618106077,General Fund
Dell Laptop w/Bag,83130,ITS,6/30/2014,$88.99 ,"81645, 81687",,Money Order,General Fund
Dell Laptop w/Bag,83131,ITS,6/30/2014,$88.55 ,"81641, 81686",,3618474032,General Fund
Dell Laptop w/Bag,83132,ITS,6/30/2014,$86.99 ,"81642, 81688",,3618483680,General Fund
Dell Laptop w/Bag,83133,ITS,6/30/2014,$79.77 ,"81649, 81685",,3618078722,General Fund
Dell Laptop w/Bag,83134,ITS,6/30/2014,$76.00 ,"81528, 81683",,3618633041,General Fund
Dell Laptop w/Bag,83136,ITS,6/30/2014,$68.00 ,"81625, 81673",,3618474036,General Fund
Dell Laptop w/Bag,83137,ITS,6/30/2014,$42.00 ,"81619, 81684",,3618633049,General Fund
Dell Laptop w/Bag,83138,ITS,6/30/2014,$37.99 ,"81616, 81674",,3618483687,General Fund
Radio Equipment,83139,SCHOOL BOARD WAREHOUSE,6/30/2014,$405.00 ,SBS-7044A,,Money Order,Enterprise
Radio Equipment,83140,SCHOOL BOARD WAREHOUSE,6/30/2014,$106.99 ,SBS-7044B,,3618260646,Enterprise
Radio Equipment,83141,SCHOOL BOARD WAREHOUSE,6/30/2014,$53.51 ,SBS-7044C,,3618260648,Enterprise
Radio Equipment,83142,SCHOOL BOARD WAREHOUSE,6/30/2014,$620.00 ,SBS-7044D,,Money Order,Enterprise
Radio Equipment,83143,SCHOOL BOARD WAREHOUSE,6/30/2014,$217.99 ,SBS-7044E,,Money Order,Enterprise
Radio Equipment,83144,SCHOOL BOARD WAREHOUSE,6/30/2014,$895.00 ,SBS-7044F,,3618392819,Enterprise
Radio Equipment,83146,SCHOOL BOARD WAREHOUSE,6/30/2014,$320.00 ,SBS-7044H,,3618761590,Enterprise
Estate Stove,83150,SCHOOL BOARD WAREHOUSE,6/30/2014,$107.00 ,SBS-7038B,,3618238595,Enterprise
Estate Stove,83151,SCHOOL BOARD WAREHOUSE,6/30/2014,$94.00 ,SBS-7038C,,3618065414,Enterprise
Frigidaire Refrigerator,83152,SCHOOL BOARD WAREHOUSE,6/30/2014,$170.99 ,SBS-7039,,3618292201,Enterprise
Kenmore Washer/Dryer Combo,83153,SCHOOL BOARD WAREHOUSE,6/30/2014,$205.00 ,SBS-7034,,3618543906,Enterprise
Frigidaire Dishwasher,83154,SCHOOL BOARD WAREHOUSE,6/30/2014,$52.00 ,SBS-7037,,3618320731,Enterprise
Frigidaire Stove,83157,SCHOOL BOARD WAREHOUSE,6/30/2014,$99.00 ,SBS-7035B,,3618065415,Enterprise
2 Refrigerators,83158,SCHOOL BOARD WAREHOUSE,6/30/2014,$5.00 ,SBS-7036,,3618510701,Enterprise
Snap-On Counselor XL Diagnostic Machine,83160,SCHOOL BOARD WAREHOUSE,6/30/2014,$103.00 ,SBS-6382,,3618624236,Enterprise
File Cabinet,83161,GENERAL SERVICES,7/1/2014,$16.00 ,81108,,3618218066,General Fund
File Cabinet,83162,GENERAL SERVICES,7/1/2014,$11.00 ,81109,,Money Order,General Fund
File Cabinet,83163,GENERAL SERVICES,7/1/2014,$9.01 ,81115,,3618218078,General Fund
3 File Cabinets,83165,GENERAL SERVICES,7/1/2014,$28.01 ,"81106, 81107, 81118",,Money Order,General Fund
Desk,83166,GENERAL SERVICES,7/1/2014,$13.50 ,81068,,3618466095,General Fund
Desk,83167,GENERAL SERVICES,7/1/2014,$9.62 ,81065,,3618291903,General Fund
Desk,83168,GENERAL SERVICES,7/1/2014,$9.62 ,81066,,3618269640,General Fund
Desk,83169,GENERAL SERVICES,7/1/2014,$8.50 ,81064,,3618097549,General Fund
Desk,83170,GENERAL SERVICES,7/1/2014,$16.00 ,81062,,3618097555,General Fund
Desk,83171,GENERAL SERVICES,7/1/2014,$37.00 ,81063,,3618789360,General Fund
Desk,83172,GENERAL SERVICES,7/1/2014,$8.01 ,81075,,Money Order,General Fund
Desk,83173,GENERAL SERVICES,7/1/2014,$62.00 ,81081,,3618789368,General Fund
Desk w/Return,83174,GENERAL SERVICES,7/1/2014,$1.00 ,81069,,3618291910,General Fund
Table,83175,GENERAL SERVICES,7/1/2014,$30.50 ,81097,,3618119437,General Fund
2 CPU Carts,83176,GENERAL SERVICES,7/1/2014,$13.00 ,"81082, 81089",,3618665344,General Fund
Desk,83177,JUVENILE COURT,7/1/2014,$11.00 ,80221,,3618207337,General Fund
Desk,83178,JUVENILE COURT,7/1/2014,$3.01 ,80220,,3618291920,General Fund
Desk,83179,JUVENILE COURT,7/1/2014,$12.01 ,80223,,Money Order,General Fund
2 File Cabinets,83180,PUBLIC DEFENDER,7/1/2014,$6.03 ,"79896, 79897",,Money Order,General Fund
Printers & Paper Trays,83181,FIRE,7/2/2014,$9.00 ,"81168, 81169, 81170, 81171, 81172, 81173, 81175, 81176, 81177, 81180, 81401, 81404",,3618510710,General Fund
Hutch,83182,GENERAL SERVICES,7/2/2014,$16.00 ,81860,,Money Order,General Fund
Steelcase Lateral File Cabinet,83183,GENERAL SERVICES,7/2/2014,$8.01 ,81112,,3618301636,General Fund
Steelcase Lateral File Cabinet,83184,GENERAL SERVICES,7/2/2014,$9.99 ,79854,,3618301645,General Fund
Metal Shelf,83185,HEALTH,7/2/2014,$19.00 ,82409B,,3618189668,General Fund
Metal Shelf,83186,HEALTH,7/2/2014,$28.00 ,82409C,,3618250838,General Fund
Lateral File Cabinet,83187,POLICE DEPARTMENT,7/2/2014,$11.00 ,78790,,Money Order,General Fund
Shelf,83188,WATER SERVICES,7/2/2014,$37.69 ,WS-80191,,3618301654,Enterprise
